1,2025-01-01,1,1,Wednesday,January,2025,2025-Jan,1,1,52,2024-W52,2024-12-29,1,2024-W01,2024-12-30,Non-Holiday,Weekday
2,2025-01-02,2,1,Thursday,January,2025,2025-Jan,2,2,52,2024-W52,2024-12-29,1,2024-W01,2024-12-30,Non-Holiday,Weekday
3,2025-01-03,3,1,Friday,January,2025,2025-Jan,3,3,52,2024-W52,2024-12-29,1,2024-W01,2024-12-30,Non-Holiday,Weekday
4,2025-01-04,4,1,Saturday,January,2025,2025-Jan,4,4,52,2024-W52,2024-12-29,1,2024-W01,2024-12-30,Non-Holiday,Weekend
5,2025-01-05,5,1,Sunday,January,2025,2025-Jan,5,5,52,2024-W52,2025-01-05,1,2024-W01,2024-12-30,Non-Holiday,Weekend
6,2025-01-06,6,1,Monday,January,2025,2025-Jan,6,6,1,2025-W01,2025-01-05,2,2025-W02,2025-01-06,Non-Holiday,Weekday
7,2025-01-07,7,1,Tuesday,January,2025,2025-Jan,7,7,1,2025-W01,2025-01-05,2,2025-W02,2025-01-06,Non-Holiday,Weekday
8,2025-01-08,8,1,Wednesday,January,2025,2025-Jan,8,8,1,2025-W01,2025-01-05,2,2025-W02,2025-01-06,Non-Holiday,Weekday
9,2025-01-09,9,1,Thursday,January,2025,2025-Jan,9,9,1,2025-W01,2025-01-05,2,2025-W02,2025-01-06,Non-Holiday,Weekday
10,2025-01-10,10,1,Friday,January,2025,2025-Jan,10,10,1,2025-W01,2025-01-05,2,2025-W02,2025-01-06,Non-Holiday,Weekday
11,2025-01-11,11,1,Saturday,January,2025,2025-Jan,11,11,1,2025-W01,2025-01-05,2,2025-W02,2025-01-06,Non-Holiday,Weekend
12,2025-01-12,12,1,Sunday,January,2025,2025-Jan,12,12,1,2025-W01,2025-01-12,2,2025-W02,2025-01-06,Non-Holiday,Weekend
13,2025-01-13,13,1,Monday,January,2025,2025-Jan,13,13,2,2025-W02,2025-01-12,3,2025-W03,2025-01-13,Non-Holiday,Weekday
14,2025-01-14,14,1,Tuesday,January,2025,2025-Jan,14,14,2,2025-W02,2025-01-12,3,2025-W03,2025-01-13,Non-Holiday,Weekday
15,2025-01-15,15,1,Wednesday,January,2025,2025-Jan,15,15,2,2025-W02,2025-01-12,3,2025-W03,2025-01-13,Non-Holiday,Weekday
16,2025-01-16,16,1,Thursday,January,2025,2025-Jan,16,16,2,2025-W02,2025-01-12,3,2025-W03,2025-01-13,Non-Holiday,Weekday
17,2025-01-17,17,1,Friday,January,2025,2025-Jan,17,17,2,2025-W02,2025-01-12,3,2025-W03,2025-01-13,Non-Holiday,Weekday
18,2025-01-18,18,1,Saturday,January,2025,2025-Jan,18,18,2,2025-W02,2025-01-12,3,2025-W03,2025-01-13,Non-Holiday,Weekend
19,2025-01-19,19,1,Sunday,January,2025,2025-Jan,19,19,2,2025-W02,2025-01-19,3,2025-W03,2025-01-13,Non-Holiday,Weekend
20,2025-01-20,20,1,Monday,January,2025,2025-Jan,20,20,3,2025-W03,2025-01-19,4,2025-W04,2025-01-20,Non-Holiday,Weekday
21,2025-01-21,21,1,Tuesday,January,2025,2025-Jan,21,21,3,2025-W03,2025-01-19,4,2025-W04,2025-01-20,Non-Holiday,Weekday
22,2025-01-22,22,1,Wednesday,January,2025,2025-Jan,22,22,3,2025-W03,2025-01-19,4,2025-W04,2025-01-20,Non-Holiday,Weekday
23,2025-01-23,23,1,Thursday,January,2025,2025-Jan,23,23,3,2025-W03,2025-01-19,4,2025-W04,2025-01-20,Non-Holiday,Weekday
24,2025-01-24,24,1,Friday,January,2025,2025-Jan,24,24,3,2025-W03,2025-01-19,4,2025-W04,2025-01-20,Non-Holiday,Weekday
25,2025-01-25,25,1,Saturday,January,2025,2025-Jan,25,25,3,2025-W03,2025-01-19,4,2025-W04,2025-01-20,Non-Holiday,Weekend
26,2025-01-26,26,1,Sunday,January,2025,2025-Jan,26,26,3,2025-W03,2025-01-26,4,2025-W04,2025-01-20,Non-Holiday,Weekend
27,2025-01-27,27,1,Monday,January,2025,2025-Jan,27,27,4,2025-W04,2025-01-26,5,2025-W05,2025-01-27,Non-Holiday,Weekday
28,2025-01-28,28,1,Tuesday,January,2025,2025-Jan,28,28,4,2025-W04,2025-01-26,5,2025-W05,2025-01-27,Non-Holiday,Weekday
29,2025-01-29,29,1,Wednesday,January,2025,2025-Jan,29,29,4,2025-W04,2025-01-26,5,2025-W05,2025-01-27,Non-Holiday,Weekday
30,2025-01-30,30,1,Thursday,January,2025,2025-Jan,30,30,4,2025-W04,2025-01-26,5,2025-W05,2025-01-27,Non-Holiday,Weekday
31,2025-01-31,31,1,Friday,January,2025,2025-Jan,31,31,4,2025-W04,2025-01-26,5,2025-W05,2025-01-27,Non-Holiday,Weekday
32,2025-02-01,32,2,Saturday,February,2025,2025-Feb,1,32,4,2025-W04,2025-01-26,5,2025-W05,2025-01-27,Non-Holiday,Weekend
33,2025-02-02,33,2,Sunday,February,2025,2025-Feb,2,33,4,2025-W04,2025-02-02,5,2025-W05,2025-01-27,Non-Holiday,Weekend
34,2025-02-03,34,2,Monday,February,2025,2025-Feb,3,34,5,2025-W05,2025-02-02,6,2025-W06,2025-02-03,Non-Holiday,Weekday
35,2025-02-04,35,2,Tuesday,February,2025,2025-Feb,4,35,5,2025-W05,2025-02-02,6,2025-W06,2025-02-03,Non-Holiday,Weekday
36,2025-02-05,36,2,Wednesday,February,2025,2025-Feb,5,36,5,2025-W05,2025-02-02,6,2025-W06,2025-02-03,Non-Holiday,Weekday
37,2025-02-06,37,2,Thursday,February,2025,2025-Feb,6,37,5,2025-W05,2025-02-02,6,2025-W06,2025-02-03,Non-Holiday,Weekday
38,2025-02-07,38,2,Friday,February,2025,2025-Feb,7,38,5,2025-W05,2025-02-02,6,2025-W06,2025-02-03,Non-Holiday,Weekday
39,2025-02-08,39,2,Saturday,February,2025,2025-Feb,8,39,5,2025-W05,2025-02-02,6,2025-W06,2025-02-03,Non-Holiday,Weekend
40,2025-02-09,40,2,Sunday,February,2025,2025-Feb,9,40,5,2025-W05,2025-02-09,6,2025-W06,2025-02-03,Non-Holiday,Weekend
41,2025-02-10,41,2,Monday,February,2025,2025-Feb,10,41,6,2025-W06,2025-02-09,7,2025-W07,2025-02-10,Non-Holiday,Weekday
